"binder_pdf_scan_page","year","month","day","time_search_start_24h","time_search_end_24h","lek_name","observer","age","sex","capture_technique","left_tag_color","left_tag_number","left_tag_code","right_tag_color","right_tag_number","right_tag_code","wygf_leg_band","weight_bird_and_bag_g","weight_bag_g","weight_bird_g","total_length_mm","tail_length_mm","num_tail_feathers","wing_length_mm","keel_length_mm","tarsus_length_mm","toe_length_mm","bill_length_mm","bill_depth_mm","comb_length_mm","comb_color","num_lice_on_comb","air_sac_color","num_lice_on_air_sac_left","num_lice_on_air_sac_right","total_num_lice_on_air_sacs","lice_back_of_head","num_hematomas_on_air_sac_left","num_hematomas_on_air_sac_right","total_num_hematomas_on_air_sacs","hematomas_air_sacs_comments","num_hematomas_on_comb_left","num_hematomas_on_comb_right","total_num_hematomas_on_combs","hematomas_comb_comments","cut_feathers","collect","labelled","hematoma_group","hematomas_applied","samples_collected_blood","samples_collected_ectoparasites","samples_collected_fecal","samples_collected_cecal","hematocrit_cells_1","hematocrit_cells_2","hematocrit_plasma_1","hematocrit_plasma_2","hematocrit_total_1","hematocrit_total_2","blood_malaria","blood_leuko","slide_numer","existing_injuries","handling_injury","stresses_while_handling_describe","comments"
"1","1989","4","8","2:52","3:05","cordingly","White/Koeppen","adult","male","spotlight","red","1717","R1717","yellow","1249","Y1249",NA,"3.1","0.3",2.8,"756","329","18","324","161","69","72","40.1","21.8","25.75","yellow olive","0","bistre yellow",0,0,0,"no",0,2,2,NA,2,2,4,"2 each on upper edge","yes","yes","yes",NA,NA,"yes","no","yes","no","18","19","9","12","27","31","no",NA,NA,NA,"no","no","No malaria"
"2","1989","4","6","2:15","2:29","cordingly","White","juven","male","spotlight","blue","1653","B1653","orange","1313","O1313",NA,"2.8","0.4",2.4,"692","271","18","311","141","66","64","39.85","23.1","21.15","olive yellow","0","yellow",2,0,2,"yes",5,5,10,NA,3,2,5,NA,"yes","no","no",NA,NA,"yes","yes","yes","no","18.5","18","14.5","14","33","32","no",NA,"99+100","Bruise on left air sac",NA,NA,"Box 2. No infection"
"3","1989","4","8","3:08","3:18","cordingly","White/Koeppen","adult","female","spotlight","yellow","1227","Y1227","yellow","1245","Y1245",NA,"2","0.3",1.7,"569","221",NA,"279","115","57","56","33.35","19.8",NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","6.5","5.5","8.5","7.5","15","13","no",NA,NA,"no","no","no","No malaria"
"4","1989","3","31","2:45","3:00","cordingly","White/Wilson","adult","female","spotlight","green","1577","G1577","green","1578","G1578",NA,"2","0.35",1.65,"580","244",NA,"280","121","47","55","32.1","19.7",NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","11","10.5","9","8.5","20","20","yes",NA,"59+60","None","None","Moderate","Box 2 59 (infected) + 60 (infected). Light infection"
"1","1989","03","23","3:51","4:07","long_lake","White","adult","male","spotlight","blue","950","B950","white","658","W658",NA,"3.25","0.35",2.9,"756","334","17","336","149","65","69","40.95","23.15","23.6","olive yellow","0","chrome yellow",0,0,0,"no",0,0,0,NA,0,0,0,NA,"no","no","no",NA,NA,"no","no","no","no","14","19","11","9","25","28","no",NA,"19+20","None","None","Minimal",NA
"2","1989","03","23","3:32","3:48","long_lake","White","adult","male","spotlight","red","887","R887","green","1098","G1098",NA,"3.3","0.3",3,"770","331","18","316","162","71","68","42.75","24.8","23.9","yellow olive","0","bistre yellow",0,0,0,"no",0,0,0,NA,0,0,0,NA,"no","no","no",NA,NA,"no","no","no","no","8","10","10","11","18","21","no",NA,"5+6","None","None","Moderate",NA
"3","1989","03","23","2:10","2:28","long_lake","White","adult","male","spotlight","blue","945","B945","orange","791","O791",NA,"3.2","0.35",2.85,"765","346","16","331","174","69","66","39.55","20.75","24.1","olive yellow","0","yellow",0,0,0,"no",0,0,0,NA,0,0,0,NA,"no","no","no",NA,NA,"no","no","no","no","5","7","9","11","14","18","no",NA,"11+12","See notes","None","Minimal","Left air sac -> fresh hole"
"4","1989","03","23","1:41","2:08","long_lake","White","adult","male","spotlight","blue","949","B949","red","900","R900",NA,"3.4","0.4",3,"775","400","16","305","172","72","66","39.55","22.45","27.4","olive yellow","0","yellow",0,0,0,"no",0,0,0,NA,NA,NA,NA,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","14","15","10","8","24","23","no",NA,"15+16","None","None","Minimal",NA
"5","1989","03","30","2:34","2:48","long_lake","White/Brokaw","juven","male","spotlight","orange","792","O792","yellow","1110","Y1110",NA,"2.8","0.4",2.4,"660","278","20","305","110","68","70","39.85","21.5","24.45","olive yellow","6","yellow",4,0,4,"yes",NA,NA,NA,"Lots - 15 - 20",NA,NA,NA,"Lots - 15 - 20 (lice on hematoma)","yes","yes","yes",NA,NA,"yes","no","yes","no","13","21","11","14","24","35","no",NA,NA,"no","no","Minimal"," Lice on back of head, lots of feather loss. Lost feathers on left leg - looks mangy - lots of lice. "
"6","1989","03","30","4:50",NA,"long_lake","White/Brokaw","adult","male","spotlight","green","1084","G1084","red","883","R883",NA,"3.3","0.3",3,"720","322","20","322","147","64","68","39.95","23.3","26.05","olive yellow","0","bistre yellow",0,0,0,"no",0,0,0,NA,0,0,0,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","15","17","11","10","26","27","no",NA,"25+26","Bruise on right air sac","no","no",NA
