"source","binder_pdf_page_number","year","month","day","arrival_time","observer","lek_name","trapping_activity","wind_mph","cloud_cover_percent","snowing_status","raining_status","temp_f","other_weather_conditions","lek_ground_condition","predator_disturbance_type_","predator_disturbance_time","type","left_tag_color","left_tag_number","left_tag_code","right_tag_color","right_tag_number","right_tag_code","age","time","sunrise_time","num_males_observed","num_females_observed","comments_observations_or_marks","time_start","time_end","num_of_struts","struts_5_min","distance_to_hens_category","distance_to_hens_notes","fights","num_of_copulations","breed","malaria","lice","other_fights_and_comments"
"binder","5","1989","3","16","5:52","White","cordingly",NA,"0 - 5","60","no","no",NA,NA,"Drifted snow behind sagebrush",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"6:18","6:14","3","0","1 marked - no color seen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Looked for lek until 6:12. Flew at 6:26 - probably in response to vehicle"
"binder","6","1989","3","6","5:24","White/Wendalt","cordingly","None","Calm","60","no","no",NA,NA,"Clear",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"5:24","5:59","6","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5:47 - coyote howling. Males chasing females to E of lek; (males) 1 adult and 1 juvenile (R/R). Ferrig 2 raptors in tree behind lek. Left 6:30"
"binder, floppy","6","1989","3","6","5:24","White/Wendalt","cordingly","None","Calm","60","no","no",NA,NA,"Clear",NA,NA,"strut","red","196","R196","red","108","R108","adult",NA,"5:59",NA,NA,NA,"5:42","5:47","31","31","1",NA,NA,NA,"no","no",NA,"5:47 - coyote howling. Males chasing females to E of lek; (males) 1 adult and 1 juvenile (R/R). Ferrig 2 raptors in tree behind lek. Left 6:30"
"binder","6","1989","3","6","5:24","White/Wendalt","cordingly","None","Calm","60","no","no",NA,NA,"Clear",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"5:36","5:59","7","3","6+1 in two mating centers. 1 male off to N by self",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5:47 - coyote howling. Males chasing females to E of lek; (males) 1 adult and 1 juvenile (R/R). Ferrig 2 raptors in tree behind lek. Left 6:30"
"binder","6","1989","3","6","5:24","White/Wendalt","cordingly","None","Calm","60","no","no",NA,NA,"Clear",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"5:59","5:59","6","2","4+2 in two mating centers. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5:47 - coyote howling. Males chasing females to E of lek; (males) 1 adult and 1 juvenile (R/R). Ferrig 2 raptors in tree behind lek. Left 6:30"
"binder","6","1989","3","6","5:24","White/Wendalt","cordingly","None","Calm","60","no","no",NA,NA,"Clear",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"6:20","5:59","5","5","3+2 in two mating centers. Males running all over",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5:47 - coyote howling. Males chasing females to E of lek; (males) 1 adult and 1 juvenile (R/R). Ferrig 2 raptors in tree behind lek. Left 6:30"
"binder","7","1989","4","7","5:42","White/Berton","cordingly","None","30 (gusts to 60)","85","no","no",NA,NA,"Clear",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"6:06","6:36","4","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Comments showing relative position of birds on lek (drawn) with tags: B/B, UM, UM, O/O moving east to west. Female wandered in 6:45, (?) out at 06... Juvenile chased off. Females left at 7:05, we left 7:06. "
"binder, floppy","7","1989","4","7","5:42","White/Berton","cordingly","None","30 (gusts to 60)","85","no","no",NA,NA,"Clear",NA,NA,"strut","orange","66","O66","purple","556","P556","adult",NA,"6:36, 6:41",NA,NA,NA,"6:23","6:28","0","0","4, 0",NA,"Insignificant standoff with UM male",NA,"no","no",NA,"Comments showing relative position of birds on lek (drawn) with tags: B/B, UM, UM, O/O moving east to west. Female wandered in 6:45, (?) out at 06... Juvenile chased off. Females left at 7:05, we left 7:06. "
"binder","7","1989","4","7","5:42","White/Berton","cordingly","None","30 (gusts to 60)","85","no","no",NA,NA,"Clear",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"6:33","6:36","5","0","4 + 1 in two mating centers. 1 pam?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Comments showing relative position of birds on lek (drawn) with tags: B/B, UM, UM, O/O moving east to west. Female wandered in 6:45, (?) out at 06... Juvenile chased off. Females left at 7:05, we left 7:06. "
"binder, floppy","7","1989","4","7","5:42","White/Berton","cordingly","None","30 (gusts to 60)","85","no","no",NA,NA,"Clear",NA,NA,"strut","blue","265","B265","blue","264","B264","adult",NA,"6:36, 6:41",NA,NA,NA,"6:37","6:43","8","7, 8","0",NA,NA,NA,"no","no",NA,"Comments showing relative position of birds on lek (drawn) with tags: B/B, UM, UM, O/O moving east to west. Female wandered in 6:45, (?) out at 06... Juvenile chased off. Females left at 7:05, we left 7:06. "
"binder","7","1989","4","7","5:42","White/Berton","cordingly","None","30 (gusts to 60)","85","no","no",NA,NA,"Clear",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"6:48","6:36","4","2","Female + male O/O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Comments showing relative position of birds on lek (drawn) with tags: B/B, UM, UM, O/O moving east to west. Female wandered in 6:45, (?) out at 06... Juvenile chased off. Females left at 7:05, we left 7:06. "
"binder, floppy","7","1989","4","7","5:42","White/Berton","cordingly","None","30 (gusts to 60)","85","no","no",NA,NA,"Clear",NA,NA,"strut","orange","66","O66","purple","556","P556","adult",NA,"6:36, 6:41",NA,NA,NA,"6:39","6:43","24","24","0",NA,NA,NA,"no","no",NA,"Comments showing relative position of birds on lek (drawn) with tags: B/B, UM, UM, O/O moving east to west. Female wandered in 6:45, (?) out at 06... Juvenile chased off. Females left at 7:05, we left 7:06. "
"binder, floppy","7","1989","4","7","5:42","White/Berton","cordingly","None","30 (gusts to 60)","85","no","no",NA,NA,"Clear",NA,NA,"strut","blue","265","B265","blue","264","B264","adult",NA,"6:36, 6:41",NA,NA,NA,"6:55","7:00","31","31","2",NA,"Females leaving lek",NA,"no","no",NA,"Comments showing relative position of birds on lek (drawn) with tags: B/B, UM, UM, O/O moving east to west. Female wandered in 6:45, (?) out at 06... Juvenile chased off. Females left at 7:05, we left 7:06. "
"binder, floppy","7","1989","4","7","5:42","White/Berton","cordingly","None","30 (gusts to 60)","85","no","no",NA,NA,"Clear",NA,NA,"strut","orange","66","O66","purple","556","P556","adult",NA,"6:36, 6:41",NA,NA,NA,"6:55","7:00","33","33","2",NA,"Females leaving lek",NA,"no","no",NA,"Comments showing relative position of birds on lek (drawn) with tags: B/B, UM, UM, O/O moving east to west. Female wandered in 6:45, (?) out at 06... Juvenile chased off. Females left at 7:05, we left 7:06. "
"binder","1","1989","3","27","5:15","White/Smith","mule_creek","None","0 to 5","90","no","no",NA,NA,"Wind up at dawn - 10-20","ferruginous hawk","5:46","observation",NA,NA,NA,NA,NA,NA,NA,"5:31",NA,"9","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Predator disturbance - grouse didn't flush, but stayed low until 061. Everyone down again by 6:45 - up at 6:17. 6:21 - all flew ~ 20 birds"
"binder","1","1989","3","27","5:15","White/Smith","mule_creek","None","0 to 5","90","no","no",NA,NA,"Wind up at dawn - 10-20","ferruginous hawk","5:46","observation",NA,NA,NA,NA,NA,NA,NA,"6:03",NA,"8","1","No strut - crowded hens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Predator disturbance - grouse didn't flush, but stayed low until 061. Everyone down again by 6:45 - up at 6:17. 6:21 - all flew ~ 20 birds"
"binder","1","1989","3","27","5:15","White/Smith","mule_creek","None","0 to 5","90","no","no",NA,NA,"Wind up at dawn - 10-20","ferruginous hawk","5:46","observation",NA,NA,NA,NA,NA,NA,NA,"6:19",NA,"8","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Predator disturbance - grouse didn't flush, but stayed low until 061. Everyone down again by 6:45 - up at 6:17. 6:21 - all flew ~ 20 birds"
"binder","1","1989",NA,NA,"6:30","Boyce","north_marshall",NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"6:40",NA,"46","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Breeder & non-strutter collected at 6:50 immediately after cop. by breeder"
"binder","1","1989",NA,NA,"6:30","Boyce","north_marshall",NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,"copulation","unmarked",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","yes",NA,NA,"Breeder & non-strutter collected at 6:50 immediately after cop. by breeder"
"binder","1","1989","3","31","5:45","White/Wilson","south_fetterman","None","25 to 30","35","no","no",NA,NA,"Clear",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"5:45",NA,"8","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Went to WD late - 6 males flushed as we approached. W adjacent to breeding male. At 6:39 - 12 females flushed + 2 more in sagebrush. Left at 6:40"
"binder","1","1989","3","31","5:45","White/Wilson","south_fetterman","None","25 to 30","35","no","no",NA,NA,"Clear",NA,NA,"strut",NA,NA,NA,"white",NA,NA,NA,NA,NA,NA,NA,NA,"5:48","5:53","23","23","1",NA,NA,NA,NA,NA,NA,"Went to WD late - 6 males flushed as we approached. W adjacent to breeding male. At 6:39 - 12 females flushed + 2 more in sagebrush. Left at 6:40"
"binder","1","1989","3","31","5:45","White/Wilson","south_fetterman","None","25 to 30","35","no","no",NA,NA,"Clear",NA,NA,"copulation","unmarked",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","yes",NA,NA,"Went to WD late - 6 males flushed as we approached. W adjacent to breeding male. At 6:39 - 12 females flushed + 2 more in sagebrush. Left at 6:40"
"binder","1","1989","3","31","5:45","White/Wilson","south_fetterman","None","25 to 30","35","no","no",NA,NA,"Clear",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"5:57",NA,"9","5","2 males off ? to north",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Went to WD late - 6 males flushed as we approached. W adjacent to breeding male. At 6:39 - 12 females flushed + 2 more in sagebrush. Left at 6:40"
"binder, floppy","1","1989","3","31","5:45","White/Wilson","south_fetterman","None","25 to 30","35","no","no",NA,NA,"Clear",NA,NA,"strut","orange",NA,"o","green",NA,"g",NA,NA,"5:54",NA,NA,NA,"6:03","6:08","28","28","1",NA,NA,NA,NA,NA,NA,"Went to WD late - 6 males flushed as we approached. W adjacent to breeding male. At 6:39 - 12 females flushed + 2 more in sagebrush. Left at 6:40"
"binder","1","1989","3","31","5:45","White/Wilson","south_fetterman","None","25 to 30","35","no","no",NA,NA,"Clear",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"6:07",NA,"8","9","0 ? to hens ?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Went to WD late - 6 males flushed as we approached. W adjacent to breeding male. At 6:39 - 12 females flushed + 2 more in sagebrush. Left at 6:40"
"binder","1","1989","3","31","5:45","White/Wilson","south_fetterman","None","25 to 30","35","no","no",NA,NA,"Clear",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"6:28",NA,"8","7","Females wandering off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Went to WD late - 6 males flushed as we approached. W adjacent to breeding male. At 6:39 - 12 females flushed + 2 more in sagebrush. Left at 6:40"
"binder","2","1989","5","2","6:15","MSB","south_fetterman","None","5 to 10","30",NA,NA,NA,NA,"Dry",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"6:30","6:00","7","1","R/G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"binder, floppy","2","1989","5","2","6:15","MSB","south_fetterman","None","5 to 10","30",NA,NA,NA,NA,"Dry",NA,NA,"strut","red",NA,"r","green",NA,"g",NA,NA,"6:00",NA,NA,NA,"6:47","6:52","25","25","1",NA,"Following hen across lek",NA,NA,NA,NA,NA
"binder","2","1989","5","2","6:15","MSB","south_fetterman","None","5 to 10","30",NA,NA,NA,NA,"Dry",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"6:56","6:00","5","0","2 males flew",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"binder","2","1989","5","2","6:15","MSB","south_fetterman","None","5 to 10","30",NA,NA,NA,NA,"Dry",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"7:05","6:00","3","0","No strutting any more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"binder","2","1989","5","2","6:15","MSB","south_fetterman","None","5 to 10","30",NA,NA,NA,NA,"Dry",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"7:06","6:00","4","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"binder","39","1989","3","17","5:35","White","long_lake",NA,"20 - 30, gusts to 50","50 - 90 by 7:14","blowing ground snow",NA,NA,NA,"Snow covered, blowing snow",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"5:42","6:18","10","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female flew E at 6:25, saw juveile (?), 7:31 - flew few 100 m. Left at 7:31. Most wandering + feeding"
